CITATION,SAMPLE NAME,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE (MIN.),LATITUDE (MAX.),LONGITUDE (MIN.),LONGITUDE (MAX.),LAND/SEA (SAMPLING),ELEVATION (MIN.),ELEVATION (MAX.),ROCK NAME,ROCK TEXTURE,DRILLING DEPTH (MIN.),DRILLING DEPTH (MAX.),ALTERATION,MINERAL,SPOT,CRYSTAL,RIM/CORE (MINERAL GRAINS),GRAIN SIZE,PRIMARY/SECONDARY,SIO2(WT%),TIO2(WT%),ZRO2(WT%),AL2O3(WT%),CR2O3(WT%),SC2O3(WT%),V2O3(WT%),V2O5(WT%),NB2O5(WT%),FE2O3T(WT%),FE2O3(WT%),FEOT(WT%),FEO(WT%),FET(WT%),CAO(WT%),MGO(WT%),MNO(WT%),BAO(WT%),SRO(WT%),NIO(WT%),ZNO(WT%),COO(WT%),K2O(WT%),NA2O(WT%),LI2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),F(WT%),CL(WT%),SO2(WT%),SO3(WT%),LOI(WT%),O(WT%),TI(WT%),FE(WT%),MG(WT%),MN(WT%),CA(WT%),K(WT%),NA(WT%),CR(WT%),HE(CCMSTP/G),HE(MOL/G),HE3(CCMSTP/G),HE3(MOL/G),HE4(CCMSTP/G),HE4(MOL/G),LI(PPM),LI6(PPM),LI7(PPM),BE(PPM),BE9(PPM),BE10(AT/G),B(PPM),B11(PPM),F(PPM),NE(CCMSTP/G),NEPHELINE(MOL%),NE20(CCMSTP/G),NE20(MOL/G),NE21(CCMSTP/G),NE21(MOL/G),NE22(CCMSTP/G),NE22(MOL/G),NA(PPM),MG(PPM),MG26(PPM),AL(PPM),AL27(PPM),SI(PPM),SI30(PPM),P(PPM),S(PPM),CL(PPM),AR(CCMSTP/G),AR36(CCMSTP/G),AR36(MOL/G),AR40(CCMSTP/G),AR40(MOL/G),K(PPM),K39(PPM),CA(PPM),CA40(PPM),CA42(PPM),CA43(PPM),CA44(PPM),SC(PPM),SC45(PPM),TI(PPM),TI49(PPM),V(PPM),V51(PPM),CR(PPM),CR53(PPM),MN(PPM),FE(PPM),FE57(PPM),CO(PPM),CO59(PPM),NI(PPM),NI60(PPM),CU(PPM),ZN(PPM),ZN66(PPM),GA(PPM),GE(PPM),GE73(PPM),GE74(PPM),AS(PPM),AS(PPB),SE(PPM),BR(PPB),KR84(CCMSTP/G),RB(PPM),RB(PPB),RB85(PPM),SR(PPM),SR(PPB),SR86(PPM),SR88(PPM),Y(PPM),Y(PPB),Y89(PPM),ZR(PPM),ZR(PPB),ZR90(PPM),NB(PPM),NB93(PPM),NB(PPB),MO(PPM),RU(PPB),RH(PPB),PD(PPB),AG(PPM),CD(PPM),CD(PPB),IN(PPM),IN(PPB),SN(PPM),SN(PPB),SB(PPM),TE(PPM),I(PPB),XE130(CCMSTP/G),XE132(CCMSTP/G),CS(PPM),CS133(PPM),BA(PPM),BA(PPB),BA137(PPM),LA(PPM),LA(PPB),LA139(PPM),CE(PPM),CE(PPB),CE140(PPM),PR(PPM),PR(PPB),PR141(PPM),ND(PPM),ND(PPB),ND146(PPM),SM(PPM),SM(PPB),SM147(PPM),EU(PPM),EU(PPB),EU153(PPM),GD(PPM),GD(PPB),GD157(PPM),TB(PPM),TB(PPB),TB159(PPM),DY(PPM),DY163(PPM),DY(PPB),HO(PPM),HO165(PPM),HO(PPB),ER(PPM),ER166(PPM),ER(PPB),TM(PPM),TM(PPB),TM169(PPM),YB(PPM),YB(PPB),YB172(PPM),LU(PPM),LU175(PPM),LU(PPB),HF(PPM),HF(PPB),HF178(PPM),TA(PPM),TA(PPB),TA181(PPM),W(PPM),RE(PPB),RE(PPT),OS(PPB),OS(PPT),IR(PPB),PT(PPB),AU(PPM),HG(PPM),TL(PPM),PB(PPM),PB(PPB),PB206(PPM),PB207(PPM),PB208(PPM),BI(PPM),RA226(PPQ),RA226_ACT(DPM/G),TH(PPM),TH(PPB),TH230_ACT(DPM/G),TH232(PPM),U(PPM),U(PPB),U238(PPM),H2O(PPM),OH(PPM),ND143_ND144,EPSILON_ND,EPSILON_ND_INI,SM147_ND144,SR87_SR86,SR87_SR86_INI,EPSILON_SR_INI,RB87_SR86,PB206_PB204,PB207_PB204,PB207_PB206,PB208_PB204,PB208_PB206,OS187_OS188,RE187_OS188,HF176_HF177,LU176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE3_AR36,HE4_HE3,HE4_AR40,HE4_NE20,HE4_NE22,BE10_BE9,AR36_AR38,AR38_AR36,AR40_AR36,AR40_AR38,AR40_K40,KR80_KR84,KR82_KR84,KR83_KR84,KR86_KR84,NE20_NE22,NE21_NE22,XE124_XE130,XE126_XE130,XE128_XE130,XE128_XE132,XE129_XE130,XE129_XE132,XE130_XE132,XE131_XE130,XE131_XE132,XE132_XE130,XE134_XE130,XE134_XE132,XE136_XE130,XE136_XE132,RA226_TH230_ACT,TH230_TH232,TH230_TH232_ACT,TH230_U238_ACT,U234_U238_ACT,D234U(PER MIL),U238_PB204,U238_TH230_ACT,U238_TH232_ACT,CO2(CCMSTP/G),CO2(MOL/G),LI7_LI6,D7LI(PER MIL),D7LI(VS LSVEC),D7LI(VS NBS8545),D11B(VS NBS951),D13C(VS VPDB),D18O(PER MIL),D18O(VS SMOW),D18O(VS VSMOW),D25MG(PER MIL),D26MG(PER MIL),D25MG(VS DSM3),D26MG(VS DSM3),D43_40CA(VS SRM915A),D44_40CA(VS SRM915A),D43_42CA(VS SRM915A),D44_42CA(VS SRM915A),D51V(VS AA),D53CR(VS SRM979),D56FE(VS IRMM-014),D57FE(VS IRMM-014),D60NI(VS NBS986),ALBITE(MOL%),ACMITE(MOL%),AEGIRINE(MOL%),DIOPSIDE(MOL%),ENSTATITE(MOL%),FERROAUGITE(MOL%),FERROSILITE(MOL%),JADEITE(MOL%),ORTHOCLASE(MOL%),RHODONITE(MOL%),WOLLASTONITE(MOL%),AGE(MA)
[10924] KIMURA J.-I. (2007),samp. EB-A,CONVERGENT MARGIN,HONSHU ARC / CENTRAL HONSHU ARC / HONSHU / EBISUTOGE PYROCLASTIC FLOW DEPOSIT,"NORIKURA VOLCANIC CHAIN, NORTH JAPAN ALPS",36,36.2,137.2,137.5,subaerial,,,RHYOLITE,,,,,ORTHOPYROXENE,EBI-A-15,,,,primary,49.1739261,8.01E-02,,0.230299389,,,,,,,,39.24101332,,,0.771002303,8.961650145,1.542004606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.42340635,,69.81904566,,,,1.757547989,
[10924] KIMURA J.-I. (2007),samp. EB-A,CONVERGENT MARGIN,HONSHU ARC / CENTRAL HONSHU ARC / HONSHU / EBISUTOGE PYROCLASTIC FLOW DEPOSIT,"NORIKURA VOLCANIC CHAIN, NORTH JAPAN ALPS",36,36.2,137.2,137.5,subaerial,,,RHYOLITE,,,,,ORTHOPYROXENE,EBI-A-16,,,,primary,48.89643463,3.99E-02,,0.309597523,,,,,,,,38.86946969,,,1.178467992,9.128133427,1.577948667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.72285726,,68.61196099,,,,2.665181745,
[10924] KIMURA J.-I. (2007),samp. EB-A,CONVERGENT MARGIN,HONSHU ARC / CENTRAL HONSHU ARC / HONSHU / EBISUTOGE PYROCLASTIC FLOW DEPOSIT,"NORIKURA VOLCANIC CHAIN, NORTH JAPAN ALPS",36,36.2,137.2,137.5,subaerial,,,RHYOLITE,,,,,ORTHOPYROXENE,EBI-A-17,,,,primary,48.87042853,0.131698916,,0.222875089,,,,,,,,39.62111235,,,1.205551616,8.317293081,1.631040421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4794978,,70.76197719,,,,2.758525016,
[10924] KIMURA J.-I. (2007),samp. EB-A,CONVERGENT MARGIN,HONSHU ARC / CENTRAL HONSHU ARC / HONSHU / EBISUTOGE PYROCLASTIC FLOW DEPOSIT,"NORIKURA VOLCANIC CHAIN, NORTH JAPAN ALPS",36,36.2,137.2,137.5,subaerial,,,RHYOLITE,,,,,ORTHOPYROXENE,EBI-A-18,,,,primary,49.61054524,0,,0.179748352,,,,,,,,36.71859397,,,0.978629918,11.02456561,1.487916916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.10407347,,63.72008814,,,,2.175838394,
[10924] KIMURA J.-I. (2007),samp. EB-A,CONVERGENT MARGIN,HONSHU ARC / CENTRAL HONSHU ARC / HONSHU / EBISUTOGE PYROCLASTIC FLOW DEPOSIT,"NORIKURA VOLCANIC CHAIN, NORTH JAPAN ALPS",36,36.2,137.2,137.5,subaerial,,,RHYOLITE,,,,,ORTHOPYROXENE,EBI-A-19,,,,primary,48.70811465,0.020185709,,0.292692774,,,,,,,,39.86677432,,,1.100121114,8.276140493,1.735970933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.3309759,,71.15341602,,,,2.515608072,
[10924] KIMURA J.-I. (2007),samp. EB-A,CONVERGENT MARGIN,HONSHU ARC / CENTRAL HONSHU ARC / HONSHU / EBISUTOGE PYROCLASTIC FLOW DEPOSIT,"NORIKURA VOLCANIC CHAIN, NORTH JAPAN ALPS",36,36.2,137.2,137.5,subaerial,,,RHYOLITE,,,,,ORTHOPYROXENE,EBI-A-20,,,,primary,49.18433931,1.02E-02,,0.336460033,,,,,,,,38.95799347,,,0.846247961,9.216965742,1.447797716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.09418741,,68.98590966,,,,1.919902934,
[10924] KIMURA J.-I. (2007),samp. EB-B1,CONVERGENT MARGIN,HONSHU ARC / CENTRAL HONSHU ARC / HONSHU / EBISUTOGE PYROCLASTIC FLOW DEPOSIT,"NORIKURA VOLCANIC CHAIN, NORTH JAPAN ALPS",36,36.2,137.2,137.5,subaerial,,,RHYOLITE,,,,,ORTHOPYROXENE,E-B1-C,,core,,primary,48.70293732,0.10093873,,0.232159079,,,,,,,,37.29686081,,,1.110326032,10.9619461,1.594831937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.54054484,,64.0177324,,,,2.44172276,
[10924] KIMURA J.-I. (2007),samp. EB-B1,CONVERGENT MARGIN,HONSHU ARC / CENTRAL HONSHU ARC / HONSHU / EBISUTOGE PYROCLASTIC FLOW DEPOSIT,"NORIKURA VOLCANIC CHAIN, NORTH JAPAN ALPS",36,36.2,137.2,137.5,subaerial,,,RHYOLITE,,,,,ORTHOPYROXENE,E-B1-R,,rim,,primary,48.6369715,0.401193293,,0.277749203,,,,,,,,38.55570415,,,1.141857834,9.433185886,1.553338134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.58710842,,67.83882637,,,,2.574065209,
[10924] KIMURA J.-I. (2007),samp. EB-B1,CONVERGENT MARGIN,HONSHU ARC / CENTRAL HONSHU ARC / HONSHU / EBISUTOGE PYROCLASTIC FLOW DEPOSIT,"NORIKURA VOLCANIC CHAIN, NORTH JAPAN ALPS",36,36.2,137.2,137.5,subaerial,,,RHYOLITE,,,,,ORTHOPYROXENE,E-B1-C,,core,,primary,48.62038052,0.249028788,,0.249028788,,,,,,,,39.10748082,,,1.225221636,9.154298237,1.394561211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.63105359,,68.61477917,,,,2.754167241,
[10924] KIMURA J.-I. (2007),samp. EB-B1,CONVERGENT MARGIN,HONSHU ARC / CENTRAL HONSHU ARC / HONSHU / EBISUTOGE PYROCLASTIC FLOW DEPOSIT,"NORIKURA VOLCANIC CHAIN, NORTH JAPAN ALPS",36,36.2,137.2,137.5,subaerial,,,RHYOLITE,,,,,ORTHOPYROXENE,E-B1-R,,rim,,primary,48.09661067,0.238544876,,0.318059835,,,,,,,,39.87675181,,,1.431269258,8.359010039,1.679753504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.32123469,,70.43957748,,,,3.239187831,
[10924] KIMURA J.-I. (2007),samp. EB-B1,CONVERGENT MARGIN,HONSHU ARC / CENTRAL HONSHU ARC / HONSHU / EBISUTOGE PYROCLASTIC FLOW DEPOSIT,"NORIKURA VOLCANIC CHAIN, NORTH JAPAN ALPS",36,36.2,137.2,137.5,subaerial,,,RHYOLITE,,,,,ORTHOPYROXENE,E-B1-C,,core,,primary,48.29051183,0.161845033,,0.232652235,,,,,,,,40.18814485,,,1.143030548,8.213635444,1.770180053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00913329,,71.38943953,,,,2.601427177,
[10924] KIMURA J.-I. (2007),samp. EB-B1,CONVERGENT MARGIN,HONSHU ARC / CENTRAL HONSHU ARC / HONSHU / EBISUTOGE PYROCLASTIC FLOW DEPOSIT,"NORIKURA VOLCANIC CHAIN, NORTH JAPAN ALPS",36,36.2,137.2,137.5,subaerial,,,RHYOLITE,,,,,ORTHOPYROXENE,E-B1-R,,rim,,primary,47.89321646,6.97E-02,,0.308795697,,,,,,,,40.45223628,,,1.215260484,8.048610419,2.012152605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.45832227,,71.77892747,,,,2.762750258,
[10924] KIMURA J.-I. (2007),samp. EB-B1,CONVERGENT MARGIN,HONSHU ARC / CENTRAL HONSHU ARC / HONSHU / EBISUTOGE PYROCLASTIC FLOW DEPOSIT,"NORIKURA VOLCANIC CHAIN, NORTH JAPAN ALPS",36,36.2,137.2,137.5,subaerial,,,RHYOLITE,,,,,ORTHOPYROXENE,E-B1-C,,core,,primary,48.35942954,0.209434527,,0.329111399,,,,,,,,38.88501047,,,1.146903361,9.574149796,1.495960906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7222333,,67.71875999,,,,2.559006709,
[10924] KIMURA J.-I. (2007),samp. EB-B1,CONVERGENT MARGIN,HONSHU ARC / CENTRAL HONSHU ARC / HONSHU / EBISUTOGE PYROCLASTIC FLOW DEPOSIT,"NORIKURA VOLCANIC CHAIN, NORTH JAPAN ALPS",36,36.2,137.2,137.5,subaerial,,,RHYOLITE,,,,,ORTHOPYROXENE,E-B1-R,,rim,,primary,47.00704225,0.124275062,,0.217481359,,,,,,,,42.08782104,,,1.13918807,7.694697597,1.729494615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.95326937,,73.4979524,,,,2.548778225,
[10924] KIMURA J.-I. (2007),samp. EB-B1,CONVERGENT MARGIN,HONSHU ARC / CENTRAL HONSHU ARC / HONSHU / EBISUTOGE PYROCLASTIC FLOW DEPOSIT,"NORIKURA VOLCANIC CHAIN, NORTH JAPAN ALPS",36,36.2,137.2,137.5,subaerial,,,RHYOLITE,,,,,ORTHOPYROXENE,E-B1-C,,core,,primary,48.88690121,0.228582787,,0.218644405,,,,,,,,37.58696084,,,1.003776585,10.57443848,1.500695687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.65597967,,65.11606827,,,,2.227952058,
[10924] KIMURA J.-I. (2007),samp. EB-B1,CONVERGENT MARGIN,HONSHU ARC / CENTRAL HONSHU ARC / HONSHU / EBISUTOGE PYROCLASTIC FLOW DEPOSIT,"NORIKURA VOLCANIC CHAIN, NORTH JAPAN ALPS",36,36.2,137.2,137.5,subaerial,,,RHYOLITE,,,,,ORTHOPYROXENE,E-B1-R,,rim,,primary,48.89955982,0.260104042,,0.360144058,,,,,,,,37.72509004,,,1.040416166,10.16406563,1.550620248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.68866052,,65.97999262,,,,2.331346853,
[10924] KIMURA J.-I. (2007),samp. EB-B1,CONVERGENT MARGIN,HONSHU ARC / CENTRAL HONSHU ARC / HONSHU / EBISUTOGE PYROCLASTIC FLOW DEPOSIT,"NORIKURA VOLCANIC CHAIN, NORTH JAPAN ALPS",36,36.2,137.2,137.5,subaerial,,,RHYOLITE,,,,,ORTHOPYROXENE,EBI-B1-1,,,,primary,49.47780679,0.130548303,,0.482024503,,,,,,,,37.09580237,,,1.0544286,10.33340028,1.425989154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.39192493,,65.232471,,,,2.375604067,
[10924] KIMURA J.-I. (2007),samp. EB-B1,CONVERGENT MARGIN,HONSHU ARC / CENTRAL HONSHU ARC / HONSHU / EBISUTOGE PYROCLASTIC FLOW DEPOSIT,"NORIKURA VOLCANIC CHAIN, NORTH JAPAN ALPS",36,36.2,137.2,137.5,subaerial,,,RHYOLITE,,,,,ORTHOPYROXENE,EBI-B1-2,,,,primary,49.672676,0.201430154,,0.433074831,,,,,,,,36.40850035,,,1.117937355,10.7160842,1.450297109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.54654324,,63.93814105,,,,2.515315718,
[10924] KIMURA J.-I. (2007),samp. EB-B1,CONVERGENT MARGIN,HONSHU ARC / CENTRAL HONSHU ARC / HONSHU / EBISUTOGE PYROCLASTIC FLOW DEPOSIT,"NORIKURA VOLCANIC CHAIN, NORTH JAPAN ALPS",36,36.2,137.2,137.5,subaerial,,,RHYOLITE,,,,,ORTHOPYROXENE,EBI-B1-3,,,,primary,49.58325064,0.148839055,,0.396904148,,,,,,,,37.31891248,,,1.041873388,9.833300258,1.676920024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.19979263,,66.4242933,,,,2.375914076,
